# taxid, corness, species_name, compact_species_name, domain, genome_source, protein_count
287	core	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Bacteria	RefSeq	6295
292	core	Burkholderia cepacia	Burkholderia cepacia	Bacteria	RefSeq	7323
301	core	Pseudomonas oleovorans	Pseudomonas oleovorans	Bacteria	RefSeq	4683
340	core	Xanthomonas campestris pv. campestris	Xanthomonas campestris	Bacteria	RefSeq	4467
359	core	Agrobacterium rhizogenes	Agrobacterium rhizogenes	Bacteria	RefSeq	6425
394	core	Sinorhizobium fredii NGR234	Sinorhizobium fredii NGR234	Bacteria	RefSeq	4038
470	core	Acinetobacter baumannii	Acinetobacter baumannii	Bacteria	RefSeq	4132
511	core	Alcaligenes faecalis	Alcaligenes faecalis	Bacteria	RefSeq	3844
549	core	Pantoea agglomerans	Pantoea agglomerans	Bacteria	RefSeq	4914
571	periphery	Klebsiella oxytoca	Klebsiella oxytoca	Bacteria	RefSeq	5789
573	core	Klebsiella pneumoniae	Klebsiella pneumoniae	Bacteria	RefSeq	5797
585	core	Proteus vulgaris	Proteus vulgaris	Bacteria	RefSeq	3592
633	core	Yersinia pseudotuberculosis	Yersinia pseudotuberculosis	Bacteria	RefSeq	4113
672	core	Vibrio vulnificus	Vibrio vulnificus	Bacteria	RefSeq	4512
747	core	Pasteurella multocida	Pasteurella multocida	Bacteria	RefSeq	2041
758	periphery	Pasteurella pneumotropica	Pasteurella pneumotropica	Bacteria	RefSeq	2213
813	core	Chlamydia trachomatis	Chlamydia trachomatis	Bacteria	RefSeq	930
827	periphery	Campylobacter ureolyticus	Campylobacter ureolyticus	Bacteria	RefSeq	1697
882	core	Desulfovibrio vulgaris str. Hildenborough	Desulfovibrio vulgaris Hildenborough	Bacteria	RefSeq	3378
883	periphery	Desulfovibrio vulgaris str. 'Miyazaki F'	Desulfovibrio vulgaris Miyazaki	Bacteria	RefSeq	3180
991	core	Flavobacterium hydatis	Flavobacterium hydatis	Bacteria	RefSeq	4666
1044	periphery	Erythrobacter longus	Erythrobacter longus	Bacteria	RefSeq	3219
1140	core	Synechococcus elongatus PCC 7942	Synechococcus elongatus PCC7942	Bacteria	RefSeq	2661
1147	periphery	Synechocystis sp. PCC 6714	Synechocystis sp. PCC6714	Bacteria	RefSeq	3567
1148	core	Synechocystis sp. PCC 6803	Synechocystis sp. PCC6803	Bacteria	RefSeq	3167
1246	core	Leuconostoc lactis	Leuconostoc lactis	Bacteria	RefSeq	1607
1274	core	Dermacoccus nishinomiyaensis	Dermacoccus nishinomiyaensis	Bacteria	RefSeq	2279
1280	core	Staphylococcus aureus	Staphylococcus aureus	Bacteria	RefSeq	2992
1288	core	Staphylococcus xylosus	Staphylococcus xylosus	Bacteria	RefSeq	2512
1314	core	Streptococcus pyogenes	Streptococcus pyogenes	Bacteria	RefSeq	1846
1346	periphery	Streptococcus iniae	Streptococcus iniae	Bacteria	RefSeq	1872
1396	core	Bacillus cereus	Bacillus cereus	Bacteria	RefSeq	5754
1405	periphery	Bacillus mycoides	Bacillus mycoides	Bacteria	RefSeq	5190
1507	periphery	Clostridium sp. ATCC 29733	Clostridium sp. ATCC 29733	Bacteria	RefSeq	3692
1511	periphery	[Clostridium] sticklandii	Clostridium sticklandii	Bacteria	RefSeq	2573
1605	core	Lactobacillus animalis	Lactobacillus animalis	Bacteria	RefSeq	1844
1680	core	Bifidobacterium adolescentis	Bifidobacterium adolescentis	Bacteria	RefSeq	1725
1687	periphery	Bifidobacterium coryneforme	Bifidobacterium coryneforme	Bacteria	RefSeq	1364
1688	periphery	Bifidobacterium cuniculi	Bifidobacterium cuniculi	Bacteria	RefSeq	2194
1690	periphery	Bifidobacterium pseudolongum subsp. globosum	Bifidobacterium pseudolongum globosum	Bacteria	RefSeq	1574
1692	periphery	Bifidobacterium magnum	Bifidobacterium magnum	Bacteria	RefSeq	1507
1693	periphery	Bifidobacterium minimum	Bifidobacterium minimum	Bacteria	RefSeq	1590
1713	core	Oerskovia turbata	Oerskovia turbata	Bacteria	RefSeq	3508
1719	core	Corynebacterium pseudotuberculosis	Corynebacterium pseudotuberculosis	Bacteria	RefSeq	2242
1828	periphery	Rhodococcus fascians	Rhodococcus fascians	Bacteria	RefSeq	5502
1869	periphery	Actinoplanes utahensis	Actinoplanes utahensis	Bacteria	RefSeq	7339
1894	core	Streptomyces aureofaciens	Streptomyces aureofaciens	Bacteria	RefSeq	8151
1896	periphery	Streptomyces bikiniensis	Streptomyces bikiniensis	Bacteria	RefSeq	6510
1906	core	Streptomyces fradiae	Streptomyces fradiae	Bacteria	RefSeq	6179
1907	periphery	Streptomyces glaucescens	Streptomyces glaucescens	Bacteria	RefSeq	6567
1944	periphery	Streptomyces halstedii	Streptomyces halstedii	Bacteria	RefSeq	6564
1957	periphery	Streptomyces sclerotialus	Streptomyces sclerotialus	Bacteria	RefSeq	6111
1961	periphery	Streptomyces virginiae	Streptomyces virginiae	Bacteria	RefSeq	7383
1968	periphery	Streptomyces cellulosae	Streptomyces cellulosae	Bacteria	RefSeq	8893
1996	periphery	Microtetraspora glauca	Microtetraspora glauca	Bacteria	RefSeq	6880
2002	periphery	Streptosporangium amethystogenes	Streptosporangium amethystogenes	Bacteria	RefSeq	8433
2045	core	Pimelobacter simplex	Pimelobacter simplex	Bacteria	RefSeq	4663
2055	core	Gordonia terrae	Gordonia terrae	Bacteria	RefSeq	4988
2074	periphery	Pseudonocardia autotrophica	Pseudonocardia autotrophica	Bacteria	RefSeq	7476
2110	core	Mycoplasma agalactiae	Mycoplasma agalactiae	Bacteria	RefSeq	820
2113	core	Mycoplasma californicum	Mycoplasma californicum	Bacteria	RefSeq	611
2325	core	Thermoanaerobacter kivui	Thermoanaerobacter kivui	Bacteria	RefSeq	2378
2340	core	Solemya velum gill symbiont	Solemya velum	Bacteria	RefSeq	2715
2342	periphery	Candidatus Sodalis pierantonius str. SOPE	Sodalis pierantonius	Bacteria	RefSeq	2309
2423	core	Fervidobacterium islandicum	Fervidobacterium islandicum	Bacteria	RefSeq	1961
2711	periphery	Citrus sinensis	Citrus sinensis	Eukaryota	Refseq Plant	21832
2754	periphery	Synergistes jonesii	Synergistes jonesii	Bacteria	RefSeq	2501
2850	core	Phaeodactylum tricornutum	Phaeodactylum tricornutum	Eukaryota	Ensembl Genomes Protists	10402
2880	core	Ectocarpus siliculosus	Ectocarpus siliculosus	Eukaryota	Uniprot Eukaryotes	15905
2903	core	Emiliania huxleyi	Emiliania huxleyi	Eukaryota	Ensembl Genomes Protists	38544
3055	core	Chlamydomonas reinhardtii	Chlamydomonas reinhardtii	Eukaryota	Ensembl Genomes Plants	14415
3067	periphery	Volvox carteri	Volvox carteri	Eukaryota	Refseq Plant	14434
3075	periphery	Auxenochlorella protothecoides	Auxenochlorella protothecoides	Eukaryota	Uniprot Eukaryotes	6999
3218	core	Physcomitrella patens	Physcomitrella patens	Eukaryota	Ensembl Genomes Plants	32263
3641	core	Theobroma cacao	Theobroma cacao	Eukaryota	Ensembl Genomes Plants	29188
3649	periphery	Carica papaya	Carica papaya	Eukaryota	Phytozome10	27301
3656	core	Cucumis melo	Cucumis melo	Eukaryota	Refseq Plant	19858
3659	periphery	Cucumis sativus	Cucumis sativus	Eukaryota	Refseq Plant	29117
3694	core	Populus trichocarpa	Populus trichocarpa	Eukaryota	Ensembl Genomes Plants	41377
3702	core	Arabidopsis thaliana	Arabidopsis thaliana	Eukaryota	Ensembl Genomes Plants	27413
3711	core	Brassica rapa	Brassica rapa	Eukaryota	Ensembl Genomes Plants	41018
3712	periphery	Brassica oleracea	Brassica oleracea	Eukaryota	Ensembl Genomes Plants	59220
3750	core	Malus domestica	Malus domestica	Eukaryota	Refseq Plant	48090
3760	periphery	Prunus persica	Prunus persica	Eukaryota	Ensembl Genomes Plants	28068
3827	periphery	Cicer arietinum	Cicer arietinum	Eukaryota	Refseq Plant	24648
